location,total_sqft,bath,price,bhk
5th Block Hbr Layout,3600.0,5.0,130.0,5.0
5th Block Hbr Layout,5100.0,5.0,300.0,6.0
5th Phase JP Nagar,1075.0,2.0,60.0,2.0
5th Phase JP Nagar,1150.0,3.0,52.5,2.0
5th Phase JP Nagar,1256.0,2.0,62.8,2.0
5th Phase JP Nagar,1207.0,2.0,63.0,2.0
5th Phase JP Nagar,1725.0,2.0,100.0,3.0
5th Phase JP Nagar,1440.0,2.0,60.0,2.0
5th Phase JP Nagar,1700.0,2.0,100.0,3.0
5th Phase JP Nagar,2500.0,5.0,110.0,5.0
5th Phase JP Nagar,600.0,1.0,30.0,1.0
5th Phase JP Nagar,1390.0,2.0,65.0,2.0
5th Phase JP Nagar,1256.0,2.0,62.8,2.0
5th Phase JP Nagar,1000.0,2.0,48.0,2.0
5th Phase JP Nagar,1350.0,2.0,75.0,3.0
5th Phase JP Nagar,552.0,1.0,23.5,1.0
5th Phase JP Nagar,1200.0,2.0,51.0,2.0
5th Phase JP Nagar,1030.0,2.0,57.0,2.0
5th Phase JP Nagar,1200.0,2.0,68.0,2.0
5th Phase JP Nagar,1190.0,2.0,61.8,2.0
5th Phase JP Nagar,4000.0,5.0,170.0,5.0
5th Phase JP Nagar,1080.0,2.0,53.0,2.0
5th Phase JP Nagar,1041.0,2.0,54.0,2.0
5th Phase JP Nagar,812.0,2.0,42.0,2.0
5th Phase JP Nagar,1010.0,2.0,57.0,2.0
5th Phase JP Nagar,1075.0,2.0,60.0,2.0
6th Phase JP Nagar,1192.0,2.0,74.0,2.0
6th Phase JP Nagar,1180.0,2.0,80.0,2.0
6th Phase JP Nagar,3245.0,4.0,250.0,4.0
6th Phase JP Nagar,1645.0,3.0,100.0,3.0
6th Phase JP Nagar,1140.0,2.0,65.0,2.0
6th Phase JP Nagar,2040.0,3.0,200.0,3.0
6th Phase JP Nagar,1213.0,2.0,63.0,2.0
6th Phase JP Nagar,1216.0,2.0,60.0,2.0
6th Phase JP Nagar,1460.0,2.0,80.0,2.0
6th Phase JP Nagar,2003.0,3.0,200.0,3.0
6th Phase JP Nagar,1810.0,3.0,131.0,3.0
6th Phase JP Nagar,1515.0,2.0,135.0,3.0
6th Phase JP Nagar,1192.0,2.0,75.0,2.0
6th Phase JP Nagar,1280.0,2.0,88.0,2.0
7th Phase JP Nagar,1080.0,2.0,72.0,2.0
7th Phase JP Nagar,1270.0,2.0,93.0,2.0
7th Phase JP Nagar,1420.0,2.0,100.0,3.0
7th Phase JP Nagar,1850.0,3.0,150.0,3.0
7th Phase JP Nagar,1245.0,2.0,94.0,2.0
7th Phase JP Nagar,1175.0,2.0,82.0,2.0
7th Phase JP Nagar,1400.0,2.0,95.0,3.0
7th Phase JP Nagar,2225.0,3.0,160.0,3.0
7th Phase JP Nagar,1050.0,2.0,71.0,2.0
7th Phase JP Nagar,1100.0,2.0,46.0,2.0
7th Phase JP Nagar,918.0,2.0,50.49,2.0
7th Phase JP Nagar,1450.0,2.0,100.0,3.0
7th Phase JP Nagar,1190.0,2.0,49.98,2.0
7th Phase JP Nagar,1420.0,2.0,96.0,3.0
7th Phase JP Nagar,1680.0,3.0,120.0,3.0
7th Phase JP Nagar,980.0,2.0,69.0,2.0
7th Phase JP Nagar,1180.0,2.0,72.0,2.0
7th Phase JP Nagar,1400.0,3.0,115.0,3.0
7th Phase JP Nagar,1270.0,2.0,83.0,2.0
7th Phase JP Nagar,2503.0,4.0,188.0,4.0
7th Phase JP Nagar,2200.0,3.0,190.0,3.0
7th Phase JP Nagar,1575.0,2.0,110.0,3.0
7th Phase JP Nagar,1850.0,3.0,140.0,3.0
7th Phase JP Nagar,1575.0,2.0,120.0,3.0
7th Phase JP Nagar,1850.0,3.0,150.0,3.0
7th Phase JP Nagar,1680.0,3.0,120.0,3.0
7th Phase JP Nagar,1175.0,2.0,82.5,2.0
7th Phase JP Nagar,1215.0,2.0,90.0,2.0
7th Phase JP Nagar,1050.0,2.0,75.0,2.0
7th Phase JP Nagar,1300.0,3.0,89.13,3.0
7th Phase JP Nagar,1130.0,2.0,73.0,2.0
7th Phase JP Nagar,1450.0,3.0,100.0,3.0
7th Phase JP Nagar,1050.0,2.0,50.0,2.0
7th Phase JP Nagar,1275.0,2.0,87.0,2.0
7th Phase JP Nagar,1650.0,3.0,110.0,3.0
7th Phase JP Nagar,850.0,2.0,42.0,2.0
7th Phase JP Nagar,1680.0,3.0,117.0,3.0
7th Phase JP Nagar,1850.0,3.0,150.0,3.0
7th Phase JP Nagar,1236.0,2.0,61.33,2.0
7th Phase JP Nagar,1000.0,2.0,53.0,2.0
7th Phase JP Nagar,1680.0,3.0,125.0,3.0
7th Phase JP Nagar,1675.0,2.0,135.0,3.0
7th Phase JP Nagar,1187.0,2.0,59.0,2.0
7th Phase JP Nagar,1850.0,3.0,155.0,3.0
7th Phase JP Nagar,1000.0,2.0,61.0,2.0
7th Phase JP Nagar,1460.0,2.0,100.0,3.0
7th Phase JP Nagar,1650.0,3.0,110.0,3.0
7th Phase JP Nagar,1200.0,2.0,62.5,2.0
7th Phase JP Nagar,1000.0,2.0,70.65,2.0
7th Phase JP Nagar,1080.0,2.0,75.0,2.0
7th Phase JP Nagar,1680.0,3.0,125.0,3.0
7th Phase JP Nagar,1460.0,2.0,97.0,3.0
7th Phase JP Nagar,1120.0,2.0,65.0,2.0
7th Phase JP Nagar,1100.0,3.0,60.0,2.0
7th Phase JP Nagar,1790.0,3.0,120.0,3.0
7th Phase JP Nagar,1680.0,3.0,117.0,3.0
7th Phase JP Nagar,1050.0,2.0,77.0,2.0
7th Phase JP Nagar,1050.0,2.0,75.0,2.0
7th Phase JP Nagar,1040.0,2.0,75.0,2.0
7th Phase JP Nagar,1400.0,2.0,95.0,3.0
7th Phase JP Nagar,1800.0,3.0,130.0,3.0
7th Phase JP Nagar,1050.0,2.0,68.0,2.0
7th Phase JP Nagar,1000.0,2.0,60.0,2.0
7th Phase JP Nagar,1680.0,3.0,125.0,3.0
7th Phase JP Nagar,1050.0,2.0,77.47,2.0
7th Phase JP Nagar,1270.0,2.0,80.0,2.0
7th Phase JP Nagar,1680.0,3.0,122.0,3.0
7th Phase JP Nagar,1130.0,2.0,85.0,2.0
7th Phase JP Nagar,1680.0,3.0,130.0,3.0
7th Phase JP Nagar,980.0,2.0,77.44,2.0
7th Phase JP Nagar,1680.0,3.0,112.0,3.0
7th Phase JP Nagar,2095.0,3.0,150.0,3.0
7th Phase JP Nagar,1976.0,3.0,145.0,3.0
7th Phase JP Nagar,1600.0,2.0,110.0,3.0
7th Phase JP Nagar,1765.0,3.0,118.0,3.0
7th Phase JP Nagar,1275.0,2.0,88.0,3.0
7th Phase JP Nagar,1450.0,2.0,102.0,3.0
7th Phase JP Nagar,1575.0,2.0,110.0,3.0
7th Phase JP Nagar,750.0,1.0,47.0,1.0
7th Phase JP Nagar,990.0,2.0,50.0,2.0
7th Phase JP Nagar,1000.0,1.0,60.0,1.0
7th Phase JP Nagar,1430.0,2.0,102.0,3.0
7th Phase JP Nagar,1128.0,2.0,60.0,2.0
7th Phase JP Nagar,1140.0,2.0,57.0,2.0
7th Phase JP Nagar,1420.0,3.0,90.0,3.0
7th Phase JP Nagar,1530.0,2.0,108.0,2.0
8th Phase JP Nagar,1073.0,2.0,54.005,2.0
8th Phase JP Nagar,451.0,1.0,29.9,1.0
8th Phase JP Nagar,1062.0,2.0,42.47,2.0
8th Phase JP Nagar,1455.0,3.0,73.31,3.0
8th Phase JP Nagar,871.0,2.0,55.0,2.0
8th Phase JP Nagar,1098.0,2.0,43.91,2.0
8th Phase JP Nagar,1800.0,3.0,80.0,3.0
8th Phase JP Nagar,2700.0,4.0,130.0,4.0
8th Phase JP Nagar,1080.0,2.0,38.0,2.0
8th Phase JP Nagar,1059.0,2.0,34.5,2.0
8th Phase JP Nagar,1080.0,2.0,35.0,2.0
8th Phase JP Nagar,1062.0,2.0,42.47,2.0
8th Phase JP Nagar,500.0,1.0,31.0,1.0
8th Phase JP Nagar,1100.0,2.0,35.0,2.0
8th Phase JP Nagar,2100.0,4.0,92.0,4.0
8th Phase JP Nagar,1035.0,2.0,39.33,2.0
8th Phase JP Nagar,909.0,2.0,40.9,2.0
8th Phase JP Nagar,1431.0,3.0,72.02,3.0
8th Phase JP Nagar,1900.0,4.0,90.0,3.0
8th Phase JP Nagar,500.0,1.0,30.0,1.0
8th Phase JP Nagar,1125.0,2.0,36.94,2.0
8th Phase JP Nagar,1100.0,2.0,35.0,2.0
8th Phase JP Nagar,1089.0,2.0,43.55,2.0
8th Phase JP Nagar,1504.0,2.0,83.0,3.0
8th Phase JP Nagar,2600.0,4.0,115.0,4.0
8th Phase JP Nagar,1089.0,2.0,43.55,2.0
8th Phase JP Nagar,1513.0,2.0,62.0,2.0
8th Phase JP Nagar,1298.0,2.0,59.0,2.0
8th Phase JP Nagar,1006.0,2.0,44.0,2.0
8th Phase JP Nagar,500.0,1.0,33.0,1.0
8th Phase JP Nagar,1160.0,2.0,95.0,2.0
8th Phase JP Nagar,1245.0,2.0,59.0,2.0
8th Phase JP Nagar,1510.0,2.0,80.0,2.0
8th Phase JP Nagar,3300.0,3.0,165.0,3.0
8th Phase JP Nagar,1730.0,5.0,75.0,5.0
8th Phase JP Nagar,1046.0,2.0,48.0,2.0
8th Phase JP Nagar,1408.0,3.0,80.0,3.0
9th Phase JP Nagar,1005.0,2.0,50.0,2.0
9th Phase JP Nagar,1100.0,2.0,65.0,2.0
9th Phase JP Nagar,1080.0,2.0,37.0,2.0
9th Phase JP Nagar,1035.0,2.0,45.0,2.0
9th Phase JP Nagar,5000.0,4.0,290.0,4.0
9th Phase JP Nagar,1164.0,2.0,56.0,2.0
9th Phase JP Nagar,1005.0,2.0,42.0,2.0
9th Phase JP Nagar,1127.0,2.0,50.0,2.0
9th Phase JP Nagar,1005.0,2.0,43.0,2.0
9th Phase JP Nagar,835.0,2.0,37.0,2.0
9th Phase JP Nagar,1050.0,2.0,39.0,2.0
9th Phase JP Nagar,660.0,2.0,27.0,2.0
9th Phase JP Nagar,600.0,1.0,20.0,1.0
9th Phase JP Nagar,1466.0,2.0,71.0,2.0
9th Phase JP Nagar,1890.0,2.0,93.0,3.0
9th Phase JP Nagar,1079.0,2.0,60.0,2.0
9th Phase JP Nagar,1480.0,2.0,80.0,2.0
9th Phase JP Nagar,1200.0,2.0,80.0,2.0
9th Phase JP Nagar,905.0,2.0,32.0,2.0
9th Phase JP Nagar,1073.0,2.0,52.36,2.0
9th Phase JP Nagar,1719.3,2.0,88.0,3.0
9th Phase JP Nagar,1780.0,3.0,88.0,3.0
9th Phase JP Nagar,1522.0,3.0,90.0,3.0
9th Phase JP Nagar,890.0,2.0,45.0,2.0
9th Phase JP Nagar,5000.0,4.0,300.0,4.0
9th Phase JP Nagar,1050.0,2.0,35.0,2.0
9th Phase JP Nagar,1331.95,2.0,69.0,2.0
AECS Layout,1100.0,2.0,45.0,2.0
AECS Layout,1028.0,2.0,42.0,2.0
AECS Layout,1199.0,2.0,65.0,2.0
AECS Layout,1080.0,2.0,55.0,2.0
AECS Layout,1123.0,2.0,64.0,2.0
AECS Layout,1308.0,2.0,60.0,2.0
AECS Layout,1005.0,2.0,55.0,2.0
Abbigere,985.0,2.0,40.39,2.0
Abbigere,2200.0,6.0,68.0,6.0
Abbigere,765.0,2.0,30.0,1.0
Abbigere,880.0,2.0,35.0,2.0
Abbigere,795.0,2.0,32.54,2.0
Abbigere,1005.0,2.0,39.59,2.0
Abbigere,734.0,1.0,19.82,1.0
Abbigere,1020.0,2.0,41.82,2.0
Abbigere,985.0,2.0,40.39,2.0
Abbigere,2500.0,6.0,81.0,6.0
Abbigere,795.0,2.0,32.54,2.0
Abbigere,1130.0,2.0,46.33,2.0
Abbigere,795.0,1.0,32.6,2.0
Abbigere,3000.0,8.0,150.0,8.0
Abbigere,985.0,2.0,38.92,2.0
Abbigere,1000.0,2.0,41.0,2.0
Abbigere,995.0,2.0,40.8,2.0
Abbigere,1020.0,2.0,40.8,2.0
Akshaya Nagar,1388.0,2.0,57.0,2.0
Akshaya Nagar,1070.0,2.0,54.0,2.0
Akshaya Nagar,1280.0,2.0,58.0,2.0
Akshaya Nagar,1662.0,3.0,85.1,3.0
Akshaya Nagar,1897.0,3.0,120.0,3.0
Akshaya Nagar,1410.0,2.0,75.0,3.0
Akshaya Nagar,1360.0,2.0,85.0,3.0
Akshaya Nagar,1410.0,2.0,80.0,3.0
Akshaya Nagar,1662.0,3.0,85.0,3.0
Akshaya Nagar,1662.0,3.0,85.5,3.0
Akshaya Nagar,1280.0,2.0,60.0,2.0
Akshaya Nagar,1666.0,3.0,95.0,3.0
Akshaya Nagar,1575.0,3.0,90.0,3.0
Akshaya Nagar,1430.0,2.0,75.0,3.0
Akshaya Nagar,1419.0,2.0,73.0,3.0
Akshaya Nagar,1280.0,2.0,60.0,2.0
Akshaya Nagar,1200.0,2.0,50.0,2.0
Akshaya Nagar,1092.0,2.0,60.0,2.0
Akshaya Nagar,1690.0,3.0,85.0,3.0
Akshaya Nagar,1897.0,4.0,93.0,3.0
Akshaya Nagar,1884.0,3.0,98.0,3.0
Akshaya Nagar,1314.0,2.0,68.8,2.0
Akshaya Nagar,1690.0,3.0,85.0,3.0
Akshaya Nagar,1265.0,2.0,67.0,2.0
Akshaya Nagar,1126.0,2.0,55.0,2.0
Akshaya Nagar,1662.0,3.0,90.0,3.0
Akshaya Nagar,1420.0,2.0,75.0,3.0
Akshaya Nagar,1412.0,2.0,88.0,3.0
Akshaya Nagar,1434.0,3.0,84.0,3.0
Akshaya Nagar,1890.0,4.0,100.0,3.0
Akshaya Nagar,1419.0,2.0,87.0,3.0
Akshaya Nagar,1300.0,2.0,54.0,2.0
Akshaya Nagar,1690.0,3.0,85.0,3.0
Akshaya Nagar,1113.0,2.0,52.0,2.0
Akshaya Nagar,1820.0,4.0,95.0,3.0
Akshaya Nagar,1100.0,2.0,48.0,2.0
Akshaya Nagar,1896.0,3.0,102.0,3.0
Akshaya Nagar,1300.0,2.0,66.0,2.0
Akshaya Nagar,1225.0,2.0,68.0,2.0
Akshaya Nagar,1179.0,2.0,51.0,2.0
Akshaya Nagar,1421.0,2.0,73.0,3.0
Akshaya Nagar,1893.0,4.0,95.0,3.0
Akshaya Nagar,900.0,2.0,45.0,2.0
Ambalipura,1105.0,2.0,75.0,2.0
Ambalipura,1800.0,3.0,110.0,3.0
Ambalipura,1150.0,2.0,80.0,2.0
Ambalipura,1250.0,2.0,66.25,2.0
Ambalipura,1332.0,2.0,79.0,2.0
Ambalipura,1730.0,3.0,120.0,3.0
Ambalipura,1230.0,2.0,66.25,2.0
Ambalipura,1351.0,2.0,77.0,2.0
Ambalipura,1303.0,2.0,80.0,2.0
Ambalipura,1607.0,2.0,112.0,3.0
Ambalipura,770.0,1.0,43.82,1.0
Ambalipura,1700.0,2.0,76.0,2.0
Ambalipura,1060.0,2.0,58.5,2.0
Ambalipura,1650.0,3.0,100.0,3.0
Ambalipura,1607.0,2.0,112.0,3.0
Ambalipura,1198.0,2.0,80.0,2.0
Ambedkar Nagar,1935.0,4.0,130.0,3.0
Ambedkar Nagar,1424.0,2.0,90.0,2.0
Ambedkar Nagar,2225.0,4.0,169.0,3.0
Ambedkar Nagar,1862.0,3.0,120.0,3.0
Ambedkar Nagar,1850.0,4.0,139.0,3.0
Ambedkar Nagar,1936.0,4.0,126.0,3.0
Ambedkar Nagar,1862.0,3.0,119.0,3.0
Ambedkar Nagar,1424.0,2.0,90.0,2.0
Ambedkar Nagar,2150.0,4.0,125.0,3.0
Ambedkar Nagar,3530.0,4.0,290.0,4.0
Ambedkar Nagar,1856.0,3.0,120.0,3.0
Ambedkar Nagar,1852.0,3.0,130.0,3.0
Ambedkar Nagar,1850.0,4.0,120.0,3.0
Ambedkar Nagar,1367.0,2.0,86.0,2.0
Ambedkar Nagar,3565.0,4.0,255.0,4.0
Ambedkar Nagar,1409.0,2.0,95.0,2.0
Ambedkar Nagar,1950.0,4.0,120.0,3.0
Ambedkar Nagar,1921.0,4.0,129.0,3.0
Ambedkar Nagar,1920.0,4.0,121.0,3.0
Ambedkar Nagar,1935.0,4.0,125.0,3.0
Ambedkar Nagar,1852.0,4.0,122.0,3.0
Ambedkar Nagar,1950.0,4.0,120.0,3.0
Ambedkar Nagar,1852.0,3.0,125.0,3.0
Ambedkar Nagar,1850.0,4.0,121.0,3.0
Ambedkar Nagar,1425.0,2.0,94.0,2.0
Ambedkar Nagar,2395.0,4.0,150.0,3.0
Amruthahalli,900.0,2.0,40.0,2.0
Amruthahalli,1200.0,2.0,55.0,2.0
Amruthahalli,1900.0,3.0,135.0,3.0
Amruthahalli,924.0,2.0,45.0,2.0
Amruthahalli,900.0,2.0,60.0,2.0
Amruthahalli,1100.0,2.0,45.0,2.0
Amruthahalli,1200.0,2.0,55.0,2.0
Amruthahalli,1450.0,2.0,85.0,3.0
Amruthahalli,1200.0,2.0,55.0,2.0
Amruthahalli,1250.0,2.0,79.0,2.0
Amruthahalli,1190.0,2.0,50.0,2.0
Amruthahalli,1202.0,2.0,65.0,2.0
Amruthahalli,1340.0,2.0,75.0,2.0
Amruthahalli,2650.0,4.0,175.0,3.0
Amruthahalli,1450.0,2.0,90.0,3.0
Amruthahalli,1025.0,2.0,42.0,2.0
Amruthahalli,485.0,1.0,19.5,1.0
Anandapura,1167.0,2.0,43.76,2.0
Anandapura,1000.0,2.0,55.0,2.0
Anandapura,1141.0,2.0,42.79,2.0
Anandapura,1200.0,2.0,67.0,2.0
Anandapura,1200.0,2.0,58.0,2.0
Anandapura,1151.0,2.0,43.1,2.0
Anandapura,1141.0,2.0,42.75,2.0
Anandapura,900.0,2.0,48.0,2.0
Anandapura,1749.0,4.0,90.0,4.0
Anandapura,1151.0,2.0,42.9,2.0
Anandapura,1250.0,2.0,45.0,2.0
Anandapura,1151.0,2.0,43.16,2.0
Anandapura,1200.0,2.0,58.0,2.0
Anandapura,1200.0,2.0,66.0,3.0
Anandapura,1415.0,2.0,74.0,3.0
Anandapura,1200.0,2.0,50.0,2.0
Anandapura,1141.0,2.0,50.0,2.0
Ananth Nagar,500.0,1.0,14.0,1.0
Ananth Nagar,1100.0,2.0,31.5,2.0
Ananth Nagar,982.0,2.0,24.55,2.0
Ananth Nagar,500.0,2.0,14.0,1.0
Ananth Nagar,900.0,2.0,22.5,2.0
Ananth Nagar,908.0,2.0,26.0,2.0
Ananth Nagar,870.0,2.0,36.0,2.0
Ananth Nagar,937.0,2.0,35.0,2.0
Ananth Nagar,960.0,2.0,37.0,2.0
Ananth Nagar,500.0,1.0,14.0,1.0
Ananth Nagar,1000.0,2.0,29.7,2.0
Ananth Nagar,850.0,2.0,25.99,2.0
Ananth Nagar,902.0,2.0,25.26,2.0
Ananth Nagar,1470.0,3.0,54.0,3.0
Ananth Nagar,810.0,2.0,25.5,2.0
Ananth Nagar,890.0,2.0,27.0,2.0
Ananth Nagar,1200.0,2.0,36.0,2.0
Ananth Nagar,1319.0,3.0,42.0,3.0
Ananth Nagar,1000.0,2.0,25.0,2.0
Ananth Nagar,902.0,2.0,25.0,2.0
Ananth Nagar,930.0,2.0,25.99,2.0
Ananth Nagar,1074.0,2.0,26.85,2.0
Ananth Nagar,500.0,1.0,14.0,1.0
Ananth Nagar,1010.0,2.0,38.0,2.0
Ananth Nagar,992.0,2.0,24.8,2.0
Anekal,1200.0,1.0,36.0,2.0
Anekal,656.0,2.0,22.0,2.0
Anekal,620.0,2.0,22.0,2.0
Anekal,600.0,1.0,16.5,1.0
Anekal,925.0,2.0,40.0,2.0
Anekal,530.0,1.0,18.0,1.0
Anekal,1800.0,3.0,68.0,3.0
Anekal,1200.0,1.0,36.0,2.0
Anekal,1035.0,2.0,38.3,2.0
Anekal,888.0,2.0,34.0,2.0
Anekal,1200.0,2.0,36.1,2.0
Anekal,700.0,1.0,19.4,2.0
Anekal,1200.0,1.0,36.0,2.0
Anekal,1200.0,2.0,36.0,4.0
Anekal,766.0,2.0,28.0,2.0
Anekal,967.0,2.0,45.0,3.0
Anekal,620.0,1.0,23.5,2.0
Anekal,1150.0,3.0,45.0,3.0
Anekal,1200.0,1.0,36.0,2.0
Anekal,1200.0,1.0,36.0,2.0
Anekal,400.0,1.0,11.5,1.0
Anekal,456.0,1.0,15.0,1.0
Anekal,1200.0,1.0,36.0,2.0
Anekal,1200.0,1.0,36.0,2.0
Anekal,2400.0,4.0,95.0,3.0
Anekal,1200.0,2.0,36.1,2.0
Anekal,1200.0,2.0,36.1,2.0
Anekal,680.0,1.0,21.0,2.0
Anekal,420.0,1.0,12.5,1.0
Anekal,614.0,1.0,28.0,2.0
Anekal,1140.0,2.0,52.0,2.0
Anekal,625.0,1.0,25.0,2.0
Anjanapura,1850.0,4.0,86.0,4.0
Anjanapura,1070.0,2.0,39.0,2.0
Anjanapura,1500.0,3.0,121.0,3.0
Anjanapura,1070.0,2.0,37.0,2.0
Anjanapura,950.0,2.0,40.0,2.0
Anjanapura,1280.0,2.0,45.0,3.0
Anjanapura,710.0,2.0,25.0,2.0
Anjanapura,950.0,2.0,32.0,2.0
Anjanapura,1800.0,4.0,55.0,4.0
Anjanapura,1843.0,3.0,87.54,3.0
Anjanapura,1076.0,2.0,30.13,2.0
Anjanapura,950.0,2.0,30.0,2.0
Ardendale,1750.0,3.0,100.0,3.0
Ardendale,3198.0,4.0,200.0,4.0
Ardendale,2422.0,4.0,160.0,4.0
Ardendale,1750.0,3.0,100.0,3.0
Ardendale,3200.0,4.0,205.0,4.0
Ardendale,1728.0,3.0,95.0,3.0
Ardendale,2062.0,3.0,140.0,4.0
Ardendale,1732.46,3.0,92.0,3.0
Ardendale,2062.0,3.0,150.0,4.0
Ardendale,1224.0,2.0,70.0,2.0
Ardendale,1777.26,3.0,105.0,3.0
Ardendale,1650.0,3.0,82.0,3.0
Ardendale,2062.0,3.0,140.0,4.0
Ardendale,1650.0,3.0,82.0,3.0
Ardendale,1224.0,2.0,67.0,2.0
Ardendale,1723.0,3.0,95.0,3.0
Ardendale,1777.26,3.0,89.0,3.0
Ardendale,1777.26,3.0,92.0,3.0
Arekere,2060.0,3.0,140.0,3.0
Arekere,920.0,2.0,40.0,2.0
Arekere,1740.0,2.0,95.0,3.0
Arekere,1190.0,2.0,55.0,2.0
Arekere,600.0,1.0,28.0,1.0
Arekere,2072.0,3.0,108.0,3.0
Arekere,1100.0,2.0,55.0,2.0
Arekere,900.0,2.0,50.0,2.0
Arekere,2710.0,6.0,142.0,4.0
Arekere,1240.0,2.0,60.0,2.0
Arekere,900.0,2.0,44.5,2.0
Attibele,450.0,1.0,11.0,1.0
Attibele,1600.0,4.0,52.8,4.0
Attibele,656.0,2.0,25.0,2.0
Attibele,400.0,1.0,11.0,1.0
Attibele,400.0,1.0,12.0,1.0
Attibele,400.0,1.0,14.0,1.0
Attibele,500.0,1.0,17.0,1.0
Attibele,2168.0,4.0,95.0,4.0
Attibele,395.0,1.0,10.25,1.0
Attibele,420.0,1.0,17.0,1.0
Attibele,418.0,1.0,12.0,1.0
Attibele,1200.0,2.0,42.0,2.0
Attibele,400.0,1.0,10.0,1.0
Attibele,695.0,1.0,25.0,2.0
Attibele,850.0,1.0,25.0,2.0
Attibele,2400.0,3.0,120.0,3.0
Attibele,450.0,1.0,12.5,1.0
Attibele,782.0,1.0,19.55,1.0
Attibele,656.0,2.0,25.0,2.0
Attibele,400.0,1.0,11.5,1.0
Attibele,460.0,1.0,13.0,1.0
Attibele,418.0,2.0,11.5,1.0
Attibele,1000.0,2.0,42.0,2.0
Attibele,550.0,1.0,11.5,1.0
Attibele,410.0,1.0,10.0,1.0
Attibele,1700.0,3.0,65.0,3.0
Attibele,400.0,1.0,10.25,1.0
Attibele,656.0,2.0,25.0,2.0
Attibele,1500.0,3.0,90.0,3.0
Attibele,520.0,1.0,15.0,1.0
BEML Layout,1060.0,2.0,55.0,2.0
BEML Layout,999.0,2.0,45.0,2.0
BEML Layout,2400.0,4.0,225.0,5.0
BEML Layout,1194.0,2.0,65.0,2.0
BEML Layout,1200.0,2.0,67.0,2.0
BEML Layout,2400.0,2.0,228.0,2.0
BEML Layout,1194.0,2.0,65.0,2.0
BTM 2nd Stage,1260.0,5.0,185.0,3.0
BTM 2nd Stage,950.0,2.0,52.0,2.0
BTM 2nd Stage,1850.0,3.0,170.0,3.0
BTM 2nd Stage,1200.0,2.0,80.0,2.0
BTM 2nd Stage,1274.0,2.0,70.0,2.0
BTM 2nd Stage,1070.0,2.0,48.0,2.0
BTM 2nd Stage,1280.0,2.0,80.0,2.0
BTM 2nd Stage,1100.0,2.0,70.0,2.0
